our_slug	polycab_url
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-2c-2xy	https://polycab.com/polycab-lv-is-7098-i-2c-2xy/a-5043/p-54740
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-2c-a2xfy	https://polycab.com/polycab-lv-is-7098-i-2c-a2xfy/a-5043/p-54704
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-2c-a2xwy	https://polycab.com/polycab-lv-is-7098-i-2c-a2xwy/a-5043/p-54706
industries/cables-by-application/cement-industry/polycab-hffr-01zz-k03xzz-k-1100v-ac-is-17048-flat-cable	https://polycab.com/polycab-hffr-01zz-k03xzz-k-1100v-ac-is-17048-flat-cable/a-5044/p-55644
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-35c-a2xwy	https://polycab.com/polycab-lv-is-7098-i-35c-a2xwy/a-5043/p-54714
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-3c-2xwy	https://polycab.com/polycab-lv-is-7098-i-3c-2xwy/a-5043/p-54718
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-3c-2xy	https://polycab.com/polycab-lv-is-7098-i-3c-2xy/a-5043/p-54748
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-3c-a2xfy	https://polycab.com/polycab-lv-is-7098-i-3c-a2xfy/a-5043/p-54720
industries/cables-by-application/cement-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-sfa	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-sfa/a-5043/p-55305
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-4c-2xy	https://polycab.com/polycab-lv-is-7098-i-4c-2xy/a-5046/p-54752
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-mc-25-2xfy	https://polycab.com/polycab-lv-is-7098-i-mc-25-2xfy/a-5043/p-54762
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-mc-25-2xwy	https://polycab.com/polycab-lv-is-7098-i-mc-25-2xwy/a-5043/p-54764
industries/cables-by-application/cement-industry/polycab-sir-1100v-ac-is-9968-1	https://polycab.com/polycab-sir-1100v-ac-is-9968-1/a-5050/p-54935
industries/cables-by-standards/as-nzs-5000/polycab-solar-as-nzs-5000-xlpo	https://polycab.com/polycab-solar-as-nzs-5000-xlpo/a-5034/p-55521
industries/cables-by-application/commercial/polycab-6181b6182b6183b6184b6185b-bs-7211-450750v-ac	https://polycab.com/polycab-6181b6182b6183b6184b6185b-bs-7211-450750v-ac/a-3904/p-55489
industries/cables-by-application/commercial/polycab-6181y-bs-6004-sc-300500v-ac	https://polycab.com/polycab-6181y-bs-6004-sc-300500v-ac/a-3904/p-55481
industries/cables-by-application/commercial/polycab-6192y6193y-bs-6004-mc-300500v-ac	https://polycab.com/polycab-6192y6193y-bs-6004-mc-300500v-ac/a-3904/p-55475
industries/cables-by-application/commercial/polycab-6241b6242b6243b-bs-7211-mc-300500v-ac	https://polycab.com/polycab-6241b6242b6243b-bs-7211-mc-300500v-ac/a-3904/p-55491
industries/cables-by-application/commercial/polycab-6241y6242y6243y-bs-6004-mc-300500v-ac	https://polycab.com/polycab-6241y6242y6243y-bs-6004-mc-300500v-ac/a-3904/p-55479
industries/cables-by-application/commercial/polycab-al-xhhw-2-type-mc-al	https://polycab.com/polycab-al-xhhw-2-type-mc-al-armoured-pvc-jacket-ul-1569-600v/a-5040/p-54957
industries/cables-by-application/cement-industry/polycab-sir-sc-1100v-ac-is-9968-1	https://polycab.com/polycab-sir-sc-1100v-ac-is-9968-1/a-5050/p-54931
industries/cables-by-application/commercial/polycab-bms-300-mc-a7	https://polycab.com/polycab-bms-300-mc-a7/a-3901/p-54796
industries/cables-by-application/commercial/polycab-bms-500-mc-a7	https://polycab.com/polycab-bms-500-mc-a7/a-3901/p-54800
industries/cables-by-application/commercial/polycab-coaxial-cable	https://polycab.com/polycab-coaxial-cable/a-3903/p-55616
industries/cables-by-application/commercial/polycab-cu-type-tctc-er-thhnthwn-2-16-awg-tray-cable	https://polycab.com/polycab-cu-type-tctc-er-thhnthwn-2-16-awg-tray-cable/a-3904/p-54959
industries/cables-by-application/commercial/polycab-cu-type-tctc-er-thhnthwn-2-tray-cable	https://polycab.com/polycab-cu-type-tctc-er-thhnthwn-2-tray-cable/a-3904/p-55564
industries/cables-by-application/commercial/polycab-etira-fr-1100v-ac-is-694	https://polycab.com/polycab-etira-fr-1100v-ac-is-694/a-3901/p-55658
industries/cables-by-application/commercial/polycab-etira-frlsh-1100v-ac-is-694	https://polycab.com/polycab-etira-frlsh-1100v-ac-is-694/a-3901/p-55660
industries/cables-by-application/commercial/polycab-festoon-flat-075sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-075sqmm-multicore-cable/a-5040/p-55495
industries/cables-by-application/commercial/polycab-festoon-flat-15sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-15sqmm-multicore-cable/a-5040/p-55499
industries/cables-by-application/commercial/polycab-festoon-flat-4sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-4sqmm-multicore-cable/a-5040/p-55503
industries/cables-by-application/commercial/polycab-fr-lf-1100v-ac-is-694	https://polycab.com/polycab-fr-lf-1100v-ac-is-694/a-3901/p-54919
industries/cables-by-application/commercial/polycab-fr-lsh-1100v-ac-is-694	https://polycab.com/polycab-fr-lsh-1100v-ac-is-694/a-3901/p-54917
industries/cables-by-application/commercial/polycab-h05v2v2d3-f-bsen-50525-2-11-mc-300500v-ac	https://polycab.com/polycab-h05v2v2d3-f-bsen-50525-2-11-mc-300500v-ac/a-5040/p-55542
industries/cables-by-application/commercial/polycab-h05vvh2-f-bsen-50525-2-11-mc-300500v-ac	https://polycab.com/polycab-h05vvh2-f-bsen-50525-2-11-mc-300500v-ac/a-5040/p-55544
industries/cables-by-application/commercial/polycab-speaker-cable	https://polycab.com/polycab-speaker-cable/a-3901/p-54802
industries/cables-by-application/commercial/polycab-nmb-cable-ul-719-600v	https://polycab.com/polycab-nmb-cable-ul-719-600v/a-3901/p-54967
industries/cables-by-application/commercial	https://polycab.com/cables/applications/building-infrastructure/commercial
industries/cables-by-application/datacenters	https://polycab.com/cables/applications/building-infrastructure/datacenters
industries/cables-by-application/commercial/polycab-thhn-cu-ul-83-600v	https://polycab.com/polycab-thhn-cu-ul-83-600v/a-3901/p-54840
industries/cables-by-application/datacenters/polycab-h07z-r-bsen-50525-3-41-450750v-ac	https://polycab.com/polycab-h07z-r-bsen-50525-3-41-450750v-ac/a-5040/p-55321
industries/cables-by-application/commercial/polycab-ufb-cable-ul-493-600v	https://polycab.com/polycab-ufb-cable-ul-493-600v/a-3901/p-54965
industries/cables-by-application/datacenters/polycab-mv-cu-bs-7835-6351112kv	https://polycab.com/polycab-mv-cu-bs-7835-63511-12-kv/a-3902/p-55011
industries/cables-by-application/defence-and-armaments-industry/polycab-h05rn-f-bsen-50525-2-21-mc-300500v-ac	https://polycab.com/polycab-h05rn-f-bsen-50525-2-21-mc-300500v-ac/a-5050/p-54830
industries/cables-by-application/defence-and-armaments-industry/polycab-h05s-uh05s-k-bsen-50525-2-41-sc-300500v-ac	https://polycab.com/polycab-h05s-uh05s-k-bsen-50525-2-41-sc-300500v-ac/a-5050/p-54943
industries/cables-by-application/defence-and-armaments-industry/polycab-h05sj-uh05sj-k-bsen-50525-2-41-sc-300500v-ac	https://polycab.com/polycab-h05sj-uh05sj-k-bsen-50525-2-41-sc-300500v-ac/a-5050/p-54939
industries/cables-by-application/datacenters/polycab-rs-485-300500v-ac-armoured-cable	https://polycab.com/polycab-rs-485-300500v-ac-armoured-cable/a-5040/p-55654
industries/cables-by-application/datacenters/polycab-rs-485-300500v-ac-unarmoured-cable	https://polycab.com/polycab-rs-485-300500v-ac-unarmoured-cable/a-5040/p-55652
industries/cables-by-application/cement-industry/polycab-lv-25-cu-iec-60502-1-061kv-mc-sfa	https://polycab.com/polycab-lv-25-cu-iec-60502-1-061kv-mc-sfa/a-5043/p-55311
industries/cables-by-application/defence-and-armaments-industry/polycab-sir-s-1100v-ac-is-9968-1	https://polycab.com/polycab-sir-s-1100v-ac-is-9968-1/a-5050/p-54933
industries/cables-by-application/defence-and-armaments-industry	https://polycab.com/cables/applications/mobility-infrastructure/defence-armaments-industry
industries/cables-by-application/energy-and-power-grid	https://polycab.com/cables/applications/energy-and-power-grid
industries/cables-by-application/exploration-industries	https://polycab.com/cables/applications/exploration-industries
industries/cables-by-application/defence-and-armaments-industry/polycab-sir-sc-1100v-ac-is-9968-1	https://polycab.com/polycab-sir-sc-1100v-ac-is-9968-1/a-5050/p-54931
industries/cables-by-application/food-and-beverages/polycab-h05bq-f-bsen-50525-2-21-mc-300500v-ac	https://polycab.com/polycab-h05bq-f-bsen-50525-2-21-mc-300500v-ac/a-5043/p-54826
industries/cables-by-application/food-and-beverages/polycab-hffr-01zz-r03xzz-r-1100v-ac-is-17048	https://polycab.com/polycab-hffr-01zz-r03xzz-r-1100v-ac-is-17048/a-5042/p-55656
industries/cables-by-application/cement-industry/polycab-lv-al-iec-60502-1-061kv-mc-35-swa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-35-swa/a-5046/p-55269
industries/cables-by-application/food-and-beverages	https://polycab.com/cables/applications/manufacturing-industries/food-beverages
industries/cables-by-application/healthcare/polycab-6181b6182b6183b6184b6185b-bs-7211-450750v-ac	https://polycab.com/polycab-6181b6182b6183b6184b6185b-bs-7211-450750v-ac/a-3904/p-55489
industries/cables-by-application/healthcare/polycab-bms-300-mc-a7	https://polycab.com/polycab-bms-300-mc-a7/a-3901/p-54796
industries/cables-by-application/healthcare/polycab-bms-500-mc-a7	https://polycab.com/polycab-bms-500-mc-a7/a-3901/p-54800
industries/cables-by-application/healthcare/polycab-bms-500-mc-c4	https://polycab.com/polycab-bms-500-mc-c4/a-3901/p-54798
industries/cables-by-application/healthcare/polycab-etira-fr-1100v-ac-is-694	https://polycab.com/polycab-etira-fr-1100v-ac-is-694/a-3901/p-55658
industries/cables-by-application/healthcare	https://polycab.com/cables/applications/manufacturing-industries/healthcare
industries/cables-by-application/it-industry/polycab-instrumentation-300-sttimf	https://polycab.com/polycab-instrumentation-300-st-timf/a-3905/p-54778
industries/cables-by-application/it-industry/polycab-cctv-cable	https://polycab.com/polycab-cctv-cable/a-3905/p-54804
industries/cables-by-application/healthcare/polycab-speaker-cable	https://polycab.com/polycab-speaker-cable/a-3901/p-54802
