=== DATASHEET FILL (DRY RUN — no DB writes) ===
Products with missing datasheet: 499
Mapped to a specific range brochure: 280
Mapped to B2B all-products fallback: 219

By brochure:
   219  B2B All-Products (fallback)
    60  Switches
    49  LED Lighting
    37  LT Cable
    30  Communication & Data Cable
    30  House Wires
    25  HT Cable (MV)
    12  Fans
     9  Dowells
     7  Professional Lighting
     7  Switchgear
     5  Solar Range
     4  Rubber Cable
     1  EHV Cable
     1  Instrumentation Cable
     1  Fire Survival Cable
     1  Solar DC Cable
     1  Green Wire

LT Cable	industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-35-sfa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-4-swa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-cu-iec-60502-1-061kv-mc-35-sfa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-cu-iec-60502-1-061kv-mc-35-ua	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-is-7098-i-mc-15-2xfy	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-is-7098-i-mc-15-2xwy	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
B2B All-Products (fallback)	industries/cables-by-application/it-industry	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/manufacturing-industries	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/mining-drilling-and-tunneling	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-is-7098-i-mc-25-2xy	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
B2B All-Products (fallback)	industries/cables-by-application/mass-transit-railways-and-marine/polycab-hydro-type-lsxlpo-sc-ieee-1580-061kv-or-2kv	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/mobility-infrastructure	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
